model,accuracy,precision,recall,f1_score,auc_roc
densenet201,0.7377049180327869,0.7491464376708638,0.7377049180327869,0.7360005255866819,0.9677855338713272
mobilenetv2,0.7259953161592506,0.7410272353405347,0.7259953161592506,0.7257103278764575,0.9666018737492008
resnet50,0.7213114754098361,0.7380584309875573,0.7213114754098361,0.7207233528466083,0.9661118081575878
efficientnet_b0,0.7189695550351288,0.7320465194112009,0.7189695550351288,0.7172271763356299,0.9635038059187409
efficientnet_b3,0.7072599531615925,0.7091986455098732,0.7072599531615925,0.7019288741580932,0.9681537471541016
resnet18,0.6955503512880562,0.7120479454310678,0.6955503512880562,0.6930938249724303,0.9623627064539556
