epoch,train_loss,val_loss,train_acc,val_acc
1,2.0595929752975413,1.4582348620505108,0.3183279742765273,0.49875311720698257
2,1.3369407048179405,1.3596322779494925,0.5348338692390139,0.5211970074812967
3,1.1060057768612175,1.1938287923089286,0.6184351554126474,0.5760598503740648
4,0.9588927596583883,1.1115974991993416,0.672561629153269,0.6259351620947631
5,0.8047105758136491,1.1543650904721452,0.7111468381564845,0.6159600997506235
6,0.7240109897886442,1.1336822619573435,0.7390139335476956,0.6533665835411472
7,0.6825263464118635,1.2977714323504894,0.7620578778135049,0.6184538653366584
8,0.5994389034799696,1.1528316154899516,0.7931404072883173,0.6658354114713217
9,0.5083164236042149,1.095626594468561,0.8172561629153269,0.655860349127182
10,0.43839985550663735,1.1970022095929358,0.845123258306538,0.6334164588528678
