epoch,train_loss,val_loss,train_acc,val_acc
1,2.0523045409275147,1.4808316437383542,0.3242229367631297,0.4837905236907731
2,1.3484673114196024,1.1553119451476452,0.5396570203644159,0.5860349127182045
3,1.1209924915468066,1.0619513358818622,0.6055734190782422,0.6309226932668329
4,0.9425672018004129,1.0684028251742261,0.6532690246516613,0.6483790523690773
5,0.8826377943781027,1.090933846463066,0.6822079314040729,0.6309226932668329
6,0.7944370819952454,1.1094141214699287,0.7127545551982851,0.6658354114713217
7,0.6673686393204226,1.0035186329986574,0.7545551982851019,0.6683291770573566
8,0.6293088250093777,1.024514626497937,0.7733118971061094,0.6384039900249376
9,0.5930983150120334,1.0206464849623789,0.7818863879957128,0.6683291770573566
10,0.5478065874415579,1.0156140667351516,0.7963558413719185,0.685785536159601
