epoch,train_loss,val_loss,train_acc,val_acc
1,2.4531536378277843,2.004429581456648,0.2572347266881029,0.42643391521197005
2,1.6653245601878928,1.5079039078846834,0.4796355841371919,0.516209476309227
3,1.2892612442454086,1.3521852183743308,0.5836012861736335,0.6084788029925187
4,1.0991280749040913,1.3990126722991616,0.6189710610932476,0.6533665835411472
5,0.9769517705243755,1.188514981307368,0.6430868167202572,0.6259351620947631
6,0.8450454019273592,1.0768507281109283,0.7052518756698821,0.6658354114713217
7,0.7394916139231618,1.0649338381508937,0.7443729903536977,0.655860349127182
8,0.6563005067591754,1.1770025164706452,0.7636655948553055,0.655860349127182
9,0.6041227082092023,1.1044887627458706,0.7883172561629154,0.6733167082294265
10,0.5393514463085071,1.0951828573948874,0.8054662379421221,0.6633416458852868
