epoch,train_loss,val_loss,train_acc,val_acc
1,1.9547856280785794,1.3709791411188177,0.3628081457663451,0.5187032418952618
2,1.3167845210078446,1.136359144178709,0.5771704180064309,0.6234413965087282
3,1.0820016560702717,1.1205003053655946,0.6371918542336549,0.6433915211970075
4,0.9361359289860292,1.1776994284720828,0.6977491961414791,0.6483790523690773
5,0.8527049130309944,1.0463966829075184,0.7191854233654876,0.683291770573566
6,0.7516969121026328,1.1182777019231545,0.7459807073954984,0.6658354114713217
7,0.6723192981329505,1.0552409487100611,0.7556270096463023,0.6982543640897756
8,0.5752941784943032,1.1467333158659296,0.8129689174705252,0.7007481296758105
9,0.4514555448919758,1.0813298068959218,0.8472668810289389,0.7182044887780549
10,0.34578674562107714,1.0894387305210207,0.8879957127545552,0.685785536159601
