epoch,train_loss,val_loss,train_acc,val_acc
1,2.16055710088274,1.7654117703289165,0.3017148981779207,0.42643391521197005
2,1.7505394052334793,1.6223294731982034,0.40889603429796356,0.5112219451371571
3,1.557790201896001,1.5275226509119582,0.4732047159699893,0.543640897755611
4,1.4722300903334622,1.4893028937045605,0.5391211146838156,0.5610972568578554
5,1.305660449231936,1.4928454117259553,0.5557341907824223,0.57356608478803
6,1.2840561255061997,1.5132601147011258,0.5862808145766345,0.5685785536159601
7,1.2091053533272984,1.5292371780513194,0.597534833869239,0.6134663341645885
8,1.0929798519144998,1.3575357961221053,0.6366559485530546,0.6408977556109726
9,0.9999246767223967,1.5238600145233447,0.669882100750268,0.6384039900249376
10,0.9144041021010116,1.265249442267191,0.6945337620578779,0.6633416458852868
