epoch,train_loss,val_loss,train_acc,val_acc
1,2.1048518175225293,1.7108827633899346,0.3129689174705252,0.4513715710723192
2,1.7126736350892569,1.4172855217632212,0.44105037513397644,0.5461346633416458
3,1.492986891302904,1.513729140524778,0.5,0.5536159600997507
4,1.4169306445223981,1.3372076343642803,0.5171489817792069,0.5810473815461347
5,1.325337232309139,1.4278112035677268,0.5568060021436227,0.5935162094763092
6,1.2493661499291755,1.4048220221253844,0.5841371918542336,0.5885286783042394
7,1.193495930646649,1.6104257292417539,0.5980707395498392,0.57356608478803
8,1.0243521271810527,1.3592268128418787,0.6505894962486602,0.6309226932668329
9,0.958311013102787,1.614480061922295,0.6586280814576635,0.5760598503740648
10,0.9377791663314369,1.498377111606794,0.6864951768488746,0.5985037406483791
