epoch,train_loss,val_loss,train_acc,val_acc
1,2.492537811254765,1.9684505629123297,0.2057877813504823,0.3341645885286783
2,2.105242046768131,1.7004756634622962,0.32690246516613075,0.42643391521197005
3,1.8496351920523444,1.5236682233753662,0.4003215434083601,0.5012468827930174
4,1.6971642794077546,1.5305951753697424,0.4453376205787781,0.5012468827930174
5,1.4882162039079339,1.6976970301698235,0.507502679528403,0.47381546134663344
6,1.4150821121623152,1.6766956180733616,0.5434083601286174,0.4937655860349127
7,1.2502993463926888,1.5064442738800727,0.5905680600214362,0.5586034912718204
8,1.1896095528943107,1.570977690413233,0.6114683815648446,0.5910224438902744
9,1.068900949438477,1.8469652487451607,0.6468381564844587,0.5635910224438903
10,1.0096388513507824,1.583529920701062,0.6714898177920686,0.5835411471321695
